gen,nevals,Avg,Std,Min,MinTotal,Max
612,68,47.94,75.86815142073779,36.0,43200.0,579.0
613,56,58.44,130.85559369014376,35.0,42000.0,1120.0
614,55,52.72,92.32162043638529,35.0,42000.0,578.0
615,58,46.92,75.6566824543609,35.0,42000.0,577.0
616,41,46.67,76.40655142067334,35.0,42000.0,582.0
617,58,51.68,92.7381129848996,34.0,40800.0,580.0
618,56,40.53,53.920766871401234,34.0,40800.0,577.0
619,49,40.24,54.048888980255676,33.0,39600.0,578.0
620,63,45.48,76.07647205279697,33.0,39600.0,578.0
621,47,39.53,53.8194119254382,33.0,39600.0,575.0
622,55,33.84,0.5953150426454886,33.0,39600.0,37.0
623,52,38.84,53.68737654234932,33.0,39600.0,573.0
624,65,38.59,53.91346677779124,32.0,38400.0,575.0
625,62,49.33,92.5050328360571,32.0,38400.0,576.0
626,52,49.27,92.28237697415472,32.0,38400.0,575.0
627,53,54.65,131.02735401434308,32.0,38400.0,1117.0
628,59,43.59,75.84709552777878,32.0,38400.0,575.0
629,60,32.37,0.6269768735766893,32.0,38400.0,36.0
630,46,48.37,92.49882756013722,31.0,37200.0,575.0
631,58,37.41,53.92997218616008,31.0,37200.0,574.0
632,55,31.93,0.43023249528597907,31.0,37200.0,34.0
633,38,42.59,75.91773113048096,31.0,37200.0,574.0
634,52,36.79,53.9948692006935,30.0,36000.0,574.0
635,45,30.97,0.4990991885387113,30.0,36000.0,33.0
636,54,36.0,53.872441934629244,30.0,36000.0,572.0
637,57,35.65,53.70686641389534,30.0,36000.0,570.0
638,58,46.27,92.51549653976896,29.0,34800.0,573.0
639,49,29.95,0.3570714214271425,29.0,34800.0,32.0
640,50,40.69,75.97482411957267,28.0,33600.0,573.0
641,51,51.17,106.1122099477718,28.0,33600.0,573.0
642,47,39.73,75.82688903021143,28.0,33600.0,571.0
643,58,28.52,0.5912698199637794,28.0,33600.0,30.0
644,55,33.65,53.907953958576456,27.0,32400.0,570.0
645,66,44.38,92.79027750793723,27.0,32400.0,573.0
646,50,28.0,0.4,27.0,32400.0,31.0
647,51,38.75,107.66599973993647,27.0,32400.0,1110.0
648,64,38.42,76.08550190410787,26.0,31200.0,572.0
649,58,43.44,119.9866092528662,26.0,31200.0,1110.0
650,47,32.27,54.147179981971355,26.0,31200.0,571.0
651,60,31.85,53.98840153218098,25.0,30000.0,569.0
652,44,31.53,54.12198351871447,25.0,30000.0,570.0
653,59,42.09,92.54891625513503,24.0,28800.0,571.0
654,62,47.09,130.7496917778394,23.0,27600.0,1108.0
655,54,30.32,53.94550583690914,23.0,27600.0,567.0
656,55,40.49,92.47934850549066,23.0,27600.0,567.0
657,64,23.66,0.7378346698278687,23.0,27600.0,26.0
658,44,34.03,75.9258131336109,22.0,26400.0,566.0
659,56,22.99,0.49989998999799945,22.0,26400.0,26.0
660,64,33.84,76.30959572688089,22.0,26400.0,569.0
661,58,38.98,119.95782425502719,21.0,25200.0,1105.0
662,46,44.21,106.66539223196995,21.0,25200.0,570.0
663,50,49.07,140.74567524439252,21.0,25200.0,1106.0
664,43,27.12,53.96096366819258,21.0,25200.0,564.0
665,52,43.15,106.42296509682485,20.0,24000.0,568.0
666,64,21.09,0.5673623181001712,20.0,24000.0,23.0
667,75,37.16,92.3610004276697,20.0,24000.0,563.0
668,59,31.35,75.95200787339333,20.0,24000.0,563.0
669,64,30.92,75.94046088877785,20.0,24000.0,563.0
670,64,30.85,75.95003291638523,20.0,24000.0,563.0
671,62,25.5,54.12236136755306,19.0,22800.0,564.0
672,48,25.44,54.128609810339675,19.0,22800.0,564.0
673,57,19.98,0.4894895300208167,19.0,22800.0,22.0
674,61,30.57,76.06303372861221,19.0,22800.0,564.0
675,61,19.34,0.5141984052872977,18.0,21600.0,20.0
676,63,29.85,75.95148122321248,18.0,21600.0,562.0
677,62,29.66,75.97949986674038,18.0,21600.0,562.0
678,34,29.28,75.81874174635186,18.0,21600.0,560.0
679,62,23.49,53.92188702187639,18.0,21600.0,560.0
680,69,50.62,128.98850956577485,17.0,20400.0,565.0
681,62,34.28,120.09688422269747,17.0,20400.0,1102.0
682,69,28.85,75.87903201807462,17.0,20400.0,560.0
683,62,23.35,54.036908682862304,17.0,20400.0,561.0
684,58,23.18,53.954866323622774,16.0,19200.0,560.0
685,51,44.46,177.5916338119563,16.0,19200.0,1642.0
686,46,38.71,131.3070672126981,16.0,19200.0,1103.0
687,49,27.75,107.9679003222717,16.0,19200.0,1102.0
688,56,32.73,92.49495715983655,15.0,18000.0,560.0
689,52,16.19,0.8566796367370944,15.0,18000.0,21.0
690,55,15.82,0.6063002556489647,15.0,18000.0,19.0
691,51,20.9,53.983608623359004,15.0,18000.0,558.0
692,58,36.88,106.47659648955727,14.0,16800.0,560.0
693,55,25.86,75.94919617744483,14.0,16800.0,558.0
694,55,20.31,53.8408200160436,13.0,15600.0,556.0
695,61,25.4,75.80250655486267,13.0,15600.0,557.0
696,57,14.16,0.6590902821313631,13.0,15600.0,15.0
697,53,24.58,76.27754322210437,12.0,14400.0,560.0
698,67,34.93,130.8989881549892,12.0,14400.0,1097.0
699,55,18.4,54.13501639419719,11.0,13200.0,557.0
700,44,12.45,0.7123903424387503,11.0,13200.0,15.0
701,57,28.34,92.56383959192705,11.0,13200.0,556.0
702,56,17.15,53.96005467009834,10.0,12000.0,554.0
